,Position,Company,Experience,Salary,Used Technologies,Optional Technologies,Salary_Min,Salary_Max,Parsed Used Technologies
424,Salesforce Developer,Volvo Digital & IT,mid,12000 22000,"Salesforce, Sales Cloud, Experience Cloud, Commerce Cloud","MuleSoft, Copado, JavaScript",12000,22000.0,"['Salesforce', 'Sales Cloud', 'Experience Cloud', 'Commerce Cloud']"
426,Salesforce Developer,ITFS sp. z o.o.,mid,19200 24000,"Salesforce, SQL",,19200,24000.0,"['Salesforce', 'SQL']"
428,Java Developer,IT CONNECT Sp. z o.o. Sp.k.,mid,20000 23000,"Java, Microsoft Azure, GraphQL, Angular",,20000,23000.0,"['Java', 'Microsoft Azure', 'GraphQL', 'Angular']"
438,Lead Software Engineer,CO3 sp. z o.o.,manager,19000 28000,"Java, Spring Framework, SQL, NoSQL, AWS","Postman, React, OAuth 2.0, Kafka, Grafana",19000,28000.0,"['Java', 'Spring Framework', 'SQL', 'NoSQL', 'AWS']"
439,Senior Back-end Developer (.NET),Shiji Poland,senior,21000 25200,"C# 11, .NET 7, Web API (REST), NHibernate, PostgreSQL, Elasticsearch","SoapUI, Linux, Docker",21000,25200.0,"['C# 11', '.NET 7', 'Web API (REST)', 'NHibernate', 'PostgreSQL', 'Elasticsearch']"
442,Back-end .NET Developer,Shiji Poland,mid,18000 21840,"C# 11, .NET 7, PostgreSQL, Redis, Kafka, Elasticsearch, Visual Studio, Microservices, Swagger, Resharper, Rider","Linux, Docker",18000,21840.0,"['C# 11', '.NET 7', 'PostgreSQL', 'Redis', 'Kafka', 'Elasticsearch', 'Visual Studio', 'Microservices', 'Swagger', 'Resharper', 'Rider']"
443,Senior Business / System Analyst,QODECA sp. z o.o.,senior,18000 24000,"UML, SQL",Azure DevOps,18000,24000.0,"['UML', 'SQL']"
444,Senior DevOps (AWS + Kubernetes),NTIATIVE sp. z o.o.,senior,27000 32000,"AWS, Kubernetes, Python",,27000,32000.0,"['AWS', 'Kubernetes', 'Python']"
448,Programista Systemów ERP,Asco,mid,10000 15000,"Harbour, Clipper, FoxPro, Visual Basic",,10000,15000.0,"['Harbour', 'Clipper', 'FoxPro', 'Visual Basic']"
450,Specjalista / Specjalistka ds. helpdesk,KAMSOFT PODLASIE sp. z o.o.,mid,4500 7400,,"SQL, Zabbix",4500,7400.0,[]
451,Senior DevOps Engineer,Boldare,mid,13400 27000,"AWS, Google Cloud Platform, Azure, Python, Bash, Terraform, Ansible, GitHub, GitLab",,13400,27000.0,"['AWS', 'Google Cloud Platform', 'Azure', 'Python', 'Bash', 'Terraform', 'Ansible', 'GitHub', 'GitLab']"
454,"Software Engineer (C++, QNX)",JellyTech,senior,24000 30200,"C++, QNX, SoC",,24000,30200.0,"['C++', 'QNX', 'SoC']"
460,Area Product Owner,E NET PRODUCTION,,9000 14500,,,9000,14500.0,[]
461,Senior Java Developer,ITFS sp. z o.o.,mid,32000 34400,"Java, Hibernate, SQL, Maven, Spring Boot",,32000,34400.0,"['Java', 'Hibernate', 'SQL', 'Maven', 'Spring Boot']"
471,Programista Backend Laravel,PAIDWORK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,mid,5500 8000,"Laravel, SQL",,5500,8000.0,"['Laravel', 'SQL']"
472,Full Stack PHP Developer,etumi.pl,mid,7000 10000,"PHP, Laravel, MySQL","Vue.js, Elasticsearch, Docker",7000,10000.0,"['PHP', 'Laravel', 'MySQL']"
475,Senior Java Developer # Azure,CPL Jobs .,senior,21000 24000,"Java, Azure SQL, Linux, Git",,21000,24000.0,"['Java', 'Azure SQL', 'Linux', 'Git']"
476,PMO Project Management Officer,DCG,mid,10000 15120,,,10000,15120.0,[]
478,Senior Python Developer,Polcode Sp. z o.o.,,13500 21000,,,13500,21000.0,[]
481,Test Manager,ONWELO Sp. z o.o.,,16000 17920,,,16000,17920.0,[]
484,Java Engineer – IoT Platform,VAILLANT GROUP BUSINESS SERVICES POLAND Sp. z o.o.,mid,16000 18000,"Java, Microservices, Azure, Kubernetes, Spring Boot",Kafka,16000,18000.0,"['Java', 'Microservices', 'Azure', 'Kubernetes', 'Spring Boot']"
487,DevOps Engineer,InfoTiles AS,mid,16000 23000,"Kubernetes, Microsoft Azure, Elasticsearch, Linux","PostgreSQL, .NET, Ubuntu, C#, Azure DevOps",16000,23000.0,"['Kubernetes', 'Microsoft Azure', 'Elasticsearch', 'Linux']"
489,"Storage, Backup, Virtualization Engineer",NASK,mid,9000 11000,,,9000,11000.0,[]
491,Guidewire Integration Developer,EXPINIT & KAMELAK SPÓŁKA JAWNA,mid,14400 20000,"Guidewire, Gosu, PolicyCenter",,14400,20000.0,"['Guidewire', 'Gosu', 'PolicyCenter']"
498,Big Data Engineer,KITRUM,,17000 20000,,,17000,20000.0,[]
499,Test automation Engineer with Python,ENGENIOUS,mid,22400 28800,"Python, C++, pytest, Bash",,22400,28800.0,"['Python', 'C++', 'pytest', 'Bash']"
501,Asset Manager,ESTARTA POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,mid,8000 10000,,,8000,10000.0,[]
507,Data Reporting Senior Developer,ITDS Polska Sp. z o.o.,senior,14700 21840,"SQL, Jira, Confluence",Python,14700,21840.0,"['SQL', 'Jira', 'Confluence']"
511,Konsultant ERP enova365,UNIBOX IT sp. z o.o.,mid,7000 9000,,C#,7000,9000.0,[]
516,Java Team Lead,ITDS Polska Sp. z o.o.,team manager,21000 27720,"Java, Spring Framework, AWS, Google Cloud Platform, Microsoft Azure",,21000,27720.0,"['Java', 'Spring Framework', 'AWS', 'Google Cloud Platform', 'Microsoft Azure']"
521,Java Engineer,ITDS Polska Sp. z o.o.,senior,21000 27720,"SQL, Spring Framework, PostgreSQL, MSSQL, HTML, CSS, JavaScript, SoapUI, Git, Jira, Maven, Jenkins, AWS, Google Cloud Platform, Microsoft Azure, Postman",,21000,27720.0,"['SQL', 'Spring Framework', 'PostgreSQL', 'MSSQL', 'HTML', 'CSS', 'JavaScript', 'SoapUI', 'Git', 'Jira', 'Maven', 'Jenkins', 'AWS', 'Google Cloud Platform', 'Microsoft Azure', 'Postman']"
522,Fullstack Developer (.NET + Angular),JellyTech,mid,18000 23000,".NET Core, .NET, Angular, SQL, Docker, PowerShell, Bash, Git","Jenkins, SQLite, Jira",18000,23000.0,"['.NET Core', '.NET', 'Angular', 'SQL', 'Docker', 'PowerShell', 'Bash', 'Git']"
523,Regular Ruby On Rails Developer,Siepomaga.pl,,13000 19000,,,13000,19000.0,[]
524,Offer Specialist with German or Spanish,PACKHELP SPÓŁKA AKCYJNA,junior,6500 8000,,,6500,8000.0,[]
525,Tester Oprogramowania,Siepomaga.pl,mid,9500 15000,"Postman, SQL, MySQL, PostgreSQL",,9500,15000.0,"['Postman', 'SQL', 'MySQL', 'PostgreSQL']"
526,Senior DevOps Engineer # AWS,CPL Jobs .,senior,21000 24000,"Linux, Python, Docker, AWS","Bash, Git",21000,24000.0,"['Linux', 'Python', 'Docker', 'AWS']"
533,Symfony Developer z Oro Commerce,Creativestyle Polska Sp. z o.o.,,11000 20000,,,11000,20000.0,[]
535,Symfony Developer z Shopware,Creativestyle Polska Sp. z o.o.,,11000 20000,,,11000,20000.0,[]
536,.NET Developer – BaaS Engineer,ITDS Polska Sp. z o.o.,senior,21000 29402,".NET, .NET Core, ASP.NET MVC, C#, Docker, Kubernetes, SQL, Git, Microsoft Azure",,21000,29402.0,"['.NET', '.NET Core', 'ASP.NET MVC', 'C#', 'Docker', 'Kubernetes', 'SQL', 'Git', 'Microsoft Azure']"
537,Senior PHP Developer,MULTIPLAY sp. z o.o. SPÓŁKA KOMANDYTOWA,senior,10000 19000,"PHP, Laravel, Symfony, Docker, Git","JavaScript, Vue.js, Linux",10000,19000.0,"['PHP', 'Laravel', 'Symfony', 'Docker', 'Git']"
538,IT Support,CRAON.PL sp. z o.o.,mid,15800 16200,"Active Directory, Windows Server",,15800,16200.0,"['Active Directory', 'Windows Server']"
543,Angular Developer,G-Group.dev,mid,12000 17000,"Angular, JavaScript, TypeScript, HTML, CSS, SASS, RXJS",,12000,17000.0,"['Angular', 'JavaScript', 'TypeScript', 'HTML', 'CSS', 'SASS', 'RXJS']"
545,JavaScript Developer – Digital Media Engineer,ITDS Polska Sp. z o.o.,mid,16800 25200,"JavaScript, HTML, Git, Babel, webpack","React.js, Node.js, Express, Nest.js, TypeScript, NoSQL, Jasmine, Karma, Cypress, Protractor",16800,25200.0,"['JavaScript', 'HTML', 'Git', 'Babel', 'webpack']"
546,PHP Developer,G-Group.dev,mid,12000 17000,"PHP, Symfony, MySQL",,12000,17000.0,"['PHP', 'Symfony', 'MySQL']"
547,React Developer,G-Group.dev,mid,12000 17000,"React.js, JavaScript, CSS, SCSS, LESS, Redux, React Context, MobX",,12000,17000.0,"['React.js', 'JavaScript', 'CSS', 'SCSS', 'LESS', 'Redux', 'React Context', 'MobX']"
548,Inżynier sieciowy,LOOPUS sp. z o.o.,mid,8000 12000,,,8000,12000.0,[]
549,SCADA Inżynier,Novaris Sp. z o.o.,mid,18000 25000,SQL,,18000,25000.0,['SQL']
550,Data Engineer (GCP),ONWELO Sp. z o.o.,,14000 21000,,,14000,21000.0,[]
551,Senior Big Data Engineer,ONWELO Sp. z o.o.,,14000 27216,,,14000,27216.0,[]
552,Data Engineer (Microsoft),ONWELO Sp. z o.o.,,9500 21000,,,9500,21000.0,[]
553,Lead Business / System Analyst,QODECA sp. z o.o.,manager,23000 27000,"UML, SQL",Azure DevOps,23000,27000.0,"['UML', 'SQL']"
554,Senior .Net Developer with Python,ONWELO Sp. z o.o.,,20000 24000,,,20000,24000.0,[]
557,IT Service Desk Consultant,CONCRET Daniel Rzepliński,mid,6000 9000,,,6000,9000.0,[]
559,Software (PHP) Development Services,Pearson Central Europe Sp. z o.o.,mid,16000 30400,"PHP 8, Symfony 5, oauth, REST, MySQL, Git, Docker, ATLAS, Jenkins","Java, Spring Boot, JavaScript, Angular, CanJS, React.js, Python, Behat",16000,30400.0,"['PHP 8', 'Symfony 5', 'oauth', 'REST', 'MySQL', 'Git', 'Docker', 'ATLAS', 'Jenkins']"
560,Frontend Development Engineering Services,Pearson Central Europe Sp. z o.o.,mid,16000 30400,"jQuery, CSS, HTML, SASS, Less, OOJS, Google Analytics, Angular","CSS3, CSS",16000,30400.0,"['jQuery', 'CSS', 'HTML', 'SASS', 'Less', 'OOJS', 'Google Analytics', 'Angular']"
563,Architekt DevOps,Totaldevs sp. z o.o.,mid,21000 33000,"Bitbucket, Bamboo, Artifactory/Nexus, SonarCube, Maven, Git",,21000,33000.0,"['Bitbucket', 'Bamboo', 'Artifactory/Nexus', 'SonarCube', 'Maven', 'Git']"
564,Architekt rozwiązań IT,Nexio Management Sp. z o.o.,mid,21000 30000,"UML, Enterprise Architect, Jira","Tibco, Salesforce, Java",21000,30000.0,"['UML', 'Enterprise Architect', 'Jira']"
568,UX/UI Designer (Mid/ Senior),Creativestyle Polska Sp. z o.o.,,8000 15600,,,8000,15600.0,[]
570,Analityk Systemowy,ITFS sp. z o.o.,mid,16000 19200,"REST API, SoapUI",,16000,19200.0,"['REST API', 'SoapUI']"
571,Specjalista / Specjalistka ds. wsparcia IT,AFNET Sp. z o.o.,mid,7000 10000,,,7000,10000.0,[]
574,PL/SQL Developer,4IT Solutions,senior,16800 21840,"{'PL/SQL': 'master', 'Oracle DB': 'advanced'}",-,16800,21840.0,"['PL/SQL', 'Oracle DB']"
576,DevOps Engineer,Kongsberg Maritime Poland,mid,9000 17000,"{'Azure DevOps': 'regular', 'API': 'regular', 'CI/CD': 'regular', 'Docker': 'regular', 'Git': 'regular', 'Python': 'regular', 'Linux': 'regular', 'Security': 'junior', 'Azure': 'junior', 'Kubernetes': 'nice to have'}",-,9000,17000.0,"['Azure DevOps', 'API', 'CI/CD', 'Docker', 'Git', 'Python', 'Linux', 'Security', 'Azure', 'Kubernetes']"
578,Power BI and Tabular Model Developer,Sigma IT Poland,mid,19000 22000,"{'DAX': 'advanced', 'Power BI': 'advanced', 'Data Engineering': 'regular', 'Git': 'regular', 'SQL': 'regular', 'AWS': 'junior', 'Snowflake': 'junior'}",-,19000,22000.0,"['DAX', 'Power BI', 'Data Engineering', 'Git', 'SQL', 'AWS', 'Snowflake']"
579,Python Developer,Cledar,mid,20800 25000,"{'Python': 'advanced', 'PySpark': 'advanced', 'NumPy': 'regular', 'Pandas': 'regular'}",-,20800,25000.0,"['Python', 'PySpark', 'NumPy', 'Pandas']"
580,DevOps AWS Engineer,Reply Polska Sp. z o. o.,senior,18000 35000,"{'AWS': 'advanced', 'Linux': 'regular', 'Windows': 'regular', 'Infrastructure as a code': 'regular'}",-,18000,35000.0,"['AWS', 'Linux', 'Windows', 'Infrastructure as a code']"
581,Testing Engineer,Reply Polska Sp. z o. o.,mid,12000 22000,"{'Postman': 'regular', 'WebService': 'regular', 'Testing': 'regular'}",-,12000,22000.0,"['Postman', 'WebService', 'Testing']"
582,Senior Java Developer Cloud Native Stack,Reply Polska Sp. z o. o.,senior,22000 35000,"{'Java 17+': 'advanced', 'Spring Boot': 'advanced', 'Docker': 'advanced', 'Kubernetes': 'advanced', 'Kotlin': 'regular'}",-,22000,35000.0,"['Java 17+', 'Spring Boot', 'Docker', 'Kubernetes', 'Kotlin']"
589,Network Engineer,Optiveum,senior,20000 25000,"{'Cisco IOS': 'advanced', 'ASA': 'advanced', 'English': 'advanced', 'FortiGate': 'regular', 'Meraki': 'regular', 'German': 'nice to have'}",-,20000,25000.0,"['Cisco IOS', 'ASA', 'English', 'FortiGate', 'Meraki', 'German']"
590,Junior PHP / Laravel Developer,ConnectTo,junior,4000 8000,"{'PHP 7.x': 'junior', 'HTML': 'junior', 'Laravel': 'nice to have', 'MySQL': 'nice to have', 'Bootstrap': 'nice to have', 'Git': 'nice to have'}",-,4000,8000.0,"['PHP 7.x', 'HTML', 'Laravel', 'MySQL', 'Bootstrap', 'Git']"
594,Senior/Mid UI/UX Designer,Sofomo,senior,15000 22000,"{'UI': 'advanced', 'UX': 'advanced', 'Figma': 'advanced', 'Prototyping': 'advanced', 'Product design': 'advanced', 'wireframing': 'advanced', 'User Flows': 'advanced', 'English': 'advanced'}",-,15000,22000.0,"['UI', 'UX', 'Figma', 'Prototyping', 'Product design', 'wireframing', 'User Flows', 'English']"
596,QA Automation Engineer with Dynamics 365,Ultrico,mid,21000 26200,"{'Selenium': 'regular', '.NET C#': 'regular', 'TypeScript': 'regular', 'Dynamics 365': 'regular', 'Playwright': 'junior'}",-,21000,26200.0,"['Selenium', '.NET C#', 'TypeScript', 'Dynamics 365', 'Playwright']"
597,FRONTEND Developer,Drinks2Cash,mid,11000 16000,"{'JavaScript': 'advanced', 'jQuery': 'advanced', 'HTML5 / CSS3': 'advanced', 'TypeScript': 'regular', 'Angular': 'regular'}",-,11000,16000.0,"['JavaScript', 'jQuery', 'HTML5 / CSS3', 'TypeScript', 'Angular']"
598,DevOps Engineer,Playbook Engineering,mid,12000 18000,"{'Linux': 'advanced', 'Google Cloud Platform': 'regular', 'Kubernetes': 'regular', 'GitLab': 'regular', 'Terraform/Ansible': 'regular', 'Python/Go/Rush/Bash': 'regular'}",-,12000,18000.0,"['Linux', 'Google Cloud Platform', 'Kubernetes', 'GitLab', 'Terraform/Ansible', 'Python/Go/Rush/Bash']"
600,Senior .NET Developer,CPL Jobs .,senior,20000 23000,"C#, SQL, ETL, DBA",,20000,23000.0,"['C#', 'SQL', 'ETL', 'DBA']"
602,Front-end Developer,LINK POINT sp. z o.o.,mid,6000 12000,"JavaScript, React.js, HTML, Git, CSS","PHP, PHPStorm, Laravel, MySQL, Microsoft SQL Server",6000,12000.0,"['JavaScript', 'React.js', 'HTML', 'Git', 'CSS']"
604,Ekspert ds. Zgodności w IT,PROVIDENT Polska,,13500 18500,,,13500,18500.0,[]
613,SAP Basis Engineer for System Integration,CSHARK sp. z o.o.,,24000 33500,,,24000,33500.0,[]
617,Junior PHP Developer,Epicode Sp. z o.o.,junior,4500 10000,"MySQL, Symfony, JavaScript, CSS, PHP",React.js,4500,10000.0,"['MySQL', 'Symfony', 'JavaScript', 'CSS', 'PHP']"
618,PHP Developer,Epicode Sp. z o.o.,mid,10000 16000,"PHP, JavaScript, MySQL, Symfony, SQL",,10000,16000.0,"['PHP', 'JavaScript', 'MySQL', 'Symfony', 'SQL']"
619,Mobile Developer,EMPLO sp. z o.o.,mid,10000 20000,"React Native, TypeScript, JavaScript, Git, Android, iOS, Android Studio, Xcode",,10000,20000.0,"['React Native', 'TypeScript', 'JavaScript', 'Git', 'Android', 'iOS', 'Android Studio', 'Xcode']"
623,Technical Support Specialist I with French/Spanish (2nd line),JAMF,,8750 11000,,,8750,11000.0,[]
627,Developer PL/SQL z niemieckim,KZ INSPIRE,mid,14400 33600,"PL/SQL, Oracle",Oracle APEX,14400,33600.0,"['PL/SQL', 'Oracle']"
628,Programista C++ (Embedded / Industrial),JellyTech,,14500 17800,,,14500,17800.0,[]
629,Senior MS Power BI Developer,JellyTech,,16000 27000,,,16000,27000.0,[]
630,IT Production Engineer,JellyTech,mid,6000 9000,"Microsoft Power BI, Oracle, Microsoft SQL Server, Apache Tomcat","PowerShell, Bitbucket, Jenkins, Artifactory, Ansible",6000,9000.0,"['Microsoft Power BI', 'Oracle', 'Microsoft SQL Server', 'Apache Tomcat']"
631,Onsite Support Engineer (z językiem angielskim),JellyTech,mid,9000 11800,Microsoft Excel,,9000,11800.0,['Microsoft Excel']
632,Senior Sharepoint Developer,JellyTech,senior,18000 24000,"SharePoint, Microsoft Azure, React.js, .NET",,18000,24000.0,"['SharePoint', 'Microsoft Azure', 'React.js', '.NET']"
636,Digital Hangar Team Leader,Lufthansa Systems,manager,15000 25000,,,15000,25000.0,[]
637,Fullstack Developer (Java + Angular),Prime Engineering Poland,mid,22000 28000,"Java, CoreJava, JDBC, Spring Framework, Maven, JavaScript, TypeScript, HTML, CSS, Angular, XML, JSON, REST, OpenAPI, Swagger","RedUX, Jenkins, Sonar",22000,28000.0,"['Java', 'CoreJava', 'JDBC', 'Spring Framework', 'Maven', 'JavaScript', 'TypeScript', 'HTML', 'CSS', 'Angular', 'XML', 'JSON', 'REST', 'OpenAPI', 'Swagger']"
641,Konsultant wdrożeniowy ERP systemu Comarch ERP XL/Optima - Enova365 - Softlab,PracBaza sp. z o.o.,,6900 12700,,,6900,12700.0,[]
652,Product Owner / System Analyst,Consdata S.A.,mid,10500 19000,BPMN,,10500,19000.0,['BPMN']
653,Regular Fullstack Developer (Java+Angular),Consdata S.A.,mid,11300 21000,"Java, Spring Framework, Angular, PostgreSQL, MongoDB, Docker","Kafka, OpenShift",11300,21000.0,"['Java', 'Spring Framework', 'Angular', 'PostgreSQL', 'MongoDB', 'Docker']"
654,Regular Java Developer,Consdata S.A.,mid,11300 21000,"Java, Spring Framework, PostgreSQL, MongoDB, Docker","Kafka, OpenShift",11300,21000.0,"['Java', 'Spring Framework', 'PostgreSQL', 'MongoDB', 'Docker']"
